"regno","Name","Latest income","Latest expenditure","Address","Postcode"
519292,"MOSS SIDE BOXING AND ATHLETICS ASSOCIATION",24898,22174,"139 PRINCESS ROAD, MOSS SIDE, MANCHESTER","M14 4RE"
519386,"GREATER MANCHESTER BANGLADESH ASSOCIATION AND COMMUNITY CENTRE",42661,54126,"Greater Manchester Bangladesh, Association & Comm, 19A Birch Lane, MANCHESTER","M13 0NW"
519574,"THE MANCHESTER CAMERATA TRUST",32,120,"MANCHESTER CAMERATA LTD, 18 Byrom Street, , MANCHESTER","M3 4AP"
519577,"SHIA WELFARE ASSOCIATION",60565,72275,"IMTIAZ HUSSAIN, 875 STOCKPORT ROAD, MANCHESTER","M19 3PW"
519754,"THE TICKER CLUB",41658,20937,"North West Heart Centre, Wythenshawe Hospital, Southmoor Road, Manchester","M23 9LT"
519755,"FOURTH CHURCH OF CHRIST SCIENTIST MANCHESTER",23437,28781,"FOURTH CHURCH OF CHRIST SCIENTIST, 42 PETER STREET, MANCHESTER","M2 5GP"
519781,"DAR UL ULOOM ISLAMIA RAZWIA EDUCATIONAL CENTRE MANCHESTER",206036,142793,"1 HAWKHURST ROAD, LONGSIGHT, MANCHESTER","M13 0SJ"
521221,"BURNAGE COMMUNITY ASSOCIATION",21139,23793,"BURNAGE COMMUNITY ASSOCIATION, THE CENTRE, BURNAGE LANE, MANCHESTER","M19 1EW"
521233,"MANCHESTER AND DISTRICT BATTALION THE BOYS' BRIGADE",6242,6468,"108 Claude Road, MANCHESTER","M21 8DF"
521235,"MANCHESTER (TRAFALGAR) UNIT 230 OF THE SEA CADET CORPS",15562,11545,"55 BOOTHROYDEN ROAD, MANCHESTER","M9 0SJ"
521239,"WHITEMOSS CLUB FOR YOUNG PEOPLE",87728,55404,"7 PINFOLD AVENUE, MANCHESTER","M9 7DW"
521245,"ROYAL OAK AND BAGULEY RESIDENTS ASSOCIATION",22209,34621,"THE CENTRE, BROOKCOT ROAD, ROYAL OAK ESTATE, WYTHENSHAWE, MANCHESTER","M23 1DU"
521247,"SIMPSON MEMORIAL COMMUNITY ASSOCIATION MOSTON",20566,10528,"Simpson Memorial Hall, Moston Lane, Moston, Manchester","M40 9NB"
521248,"UNIVERSITY OF MANCHESTER INTERNATIONAL SOCIETY",466518,427528,"International Society, c/o UMSU, Oxford Road, MANCHESTER","M13 9PR"
521608,"2/77TH MANCHESTER (2ND WHALLEY RANGE) GROUP OF SCOUTS",12811,12272,"2nd Whalley Range Scout Group, 7 Egerton Road South, MANCHESTER","M21 0YP"
521615,"217TH MANCHESTER GRENFELL SCOUT GROUP",4321,2879,"217th Manchester Scout Group, Far Lane, Gorton, Manchester","M18 7FF"
521620,"2/249TH MANCHESTER SCOUT GROUP",8517,7890,"71 Holden Avenue, MANCHESTER","M16 8TA"
521626,"346TH MANCHESTER SCOUT GROUP",1643,3914,"316 sT. MARYS RD, MANCHESTER","M40 0BD"
521634,"1ST WITHINGTON SCOUT GROUP",16288,12831,"19 Burlington Road, MANCHESTER","M20 4PY"
521678,"25TH STRETFORD (FIRSWOOD) SCOUT GROUP",2564,4015,"11 Sylvan Avenue, MANCHESTER","M16 8AN"
526054,"THE BURNEY FUND (ICW CHETHAM'S LIBRARY)",1157,5743,"CHETHAMS SCHOOL OF MUSIC, LONG MILLGATE, MANCHESTER","M3 1SB"
526055,"ANN BUTTERWORTH AND DANIEL BAYLEY",0,1153,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
526149,"MANCHESTER LAW SOCIETY EDUCATIONAL FOUNDATION",2716,3665,"64 Bridge Street, Manchester, , , Bridge City Properties","M3 3BN"
526235,"MANCHESTER CATHEDRAL CHOIR SCHOOLS FOUNDATION",9382,2607,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
526392,"MARY ANN HIBBERT BEQUESTS",1321,1321,"DIOCESAN BOARD OF FINANCE, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
526407,"THE NICHOLLS HOSPITAL TRUST",5259,27605,"CHETHAM'S SCHOOL OF MUSIC, LONG MILLGATE, MANCHESTER","M3 1SB"
526429,"THE MANCHESTER, SAINT ANN'S EDUCATIONAL FOUNDATION",3,1274,"ST. ANNS CHURCH, ST. ANN STREET, MANCHESTER","M2 7LF"
526564,"M.G.S. TRUST",3496104,2120389,"MANCHESTER GRAMMAR SCHOOL, OLD HALL LANE, MANCHESTER","M13 0XT"
526654,"UNITARIAN COLLEGE, MANCHESTER",83298,111019,"LUTHER KING HOUSE, BRIGHTON GROVE, MANCHESTER","M14 5JP"
526660,"CANON RICHSON'S EXHIBITION FUND",1013,0,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
526669,"MANCHESTER TALMUDICAL COLLEGE AND THEOLOGICAL SEMINARY",383641,350025,"MANCHESTER TALMUDICAL COLLEGE, SAUL ROSENBERG HOUSE, 1-7 SEYMOUR ROAD, MANCHESTER","M8 5BQ"
526675,"NAZARENE THEOLOGICAL COLLEGE",1392148,1245943,"NAZARENE THEOLOGICAL COLLEGE, DENE ROAD, DIDSBURY, MANCHESTER","M20 2GU"
526702,"CHETHAM'S HOSPITAL SCHOOL AND LIBRARY",11928346,11212106,"CHETHAM'S SCHOOL OF MUSIC, LONG MILLGATE, MANCHESTER","M3 1SB"
526880,"RICHARD O'SULLIVAN Q C PRIZE FUND",12,10,"University of Manchester, Room G.010, John Owens Building, Oxford Road, MANCHESTER","M13 9PL"
529866,"THE DICKINSON SCHOLARSHIP FUND ICW UNIVERSITY OF MANCHESTER",15802,10098,"Dept of Postgrad Medical Education, Postgraduate Centre, Manchester Royal Infirmary, Oxford Road, Manchester","M13 9WL"
529876,"BISHOP LEE'S SCHOLARSHIP",399,0,"DIOCESAN REGISTRY, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2QH"
529909,"THE MANCHESTER GRAMMAR SCHOOL FOUNDATION",21899821,21215075,"MANCHESTER GRAMMAR SCHOOL, OLD HALL LANE, MANCHESTER","M13 0XT"
529910,"THE MANCHESTER GRAMMAR SCHOOL PARENTS' SOCIETY",23999,12447,"MANCHESTER GRAMMAR SCHOOL, OLD HALL LANE, MANCHESTER","M13 0XT"
530002,"MANCHESTER DIOCESAN BOARD OF EDUCATION",821644,836760,"DIOCESAN BOARD OF EDUCATION, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
532334,"MYNSHULL'S EDUCATIONAL FOUNDATION",14511,9926,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
700038,"LADYBARN COMMUNITY ASSOCIATION",12500,17137,"LADYBARN COMMUNITY ASSOCIATION, c/o 30 St George's Road, Ladybarn","M14 6SZ"
700509,"THE FRIENDS OF BEAVER ROAD SCHOOLS",16497,4855,"BEAVER ROAD PRIMARY SCHOOL, BEAVER ROAD, MANCHESTER","M20 6SX"
700664,"THE JUNIOR SCHOOL AT THE ROYAL NORTHERN COLLEGE OF MUSIC ENDOWMENT TRUST",29113,12041,"ROYAL NORTHERN COLLEGE OF MUSIC, 124 OXFORD ROAD, MANCHESTER","M13 9RD"
700808,"ST BEDE'S COLLEGE LIMITED",7923814,7440466,"ST. BEDES COLLEGE, ALEXANDRA ROAD SOUTH, MANCHESTER","M16 8HX"
702007,"NORTH OF ENGLAND BONE MARROW AND THALASSAEMIA ASSOCIATION",18797,5998,"CMFT NHS Trut, Chest Clinic, 352 Oxford Road, MANCHESTER","M13 9NL"
702313,"THE MANCHESTER SURGICAL RESEARCH TRUST",124923,245393,"2ND FLOOR, EDUCATION AND RESEARCH CENTRE, WYTHENSHAWE HOSPITAL, MANCHESTER","M23 9LT"
702559,"ADS (ADDICTION DEPENDENCY SOLUTIONS)",9181641,10016325,"A D S, 87 Oldham Street, Manchester","M4 1LW"
702687,"42ND STREET - COMMUNITY BASED RESOURCE FOR YOUNG PEOPLE UNDER STRESS",1771076,1624696,"42ND Street, 89-91 Great Ancoats Street, MANCHESTER","M4 5AG"
801760,"THE WYTHENSHAWE CARDIOLOGY DEPARTMENT RESEARCH FUND",550,900,"WYTHENSHAWE CARDIOLOGY DEPARTMENT, RESEARCH FUND, SUITE 16080, PO BOX 4336, MANCHESTER","M61 0BW"
802134,"THE EAGLE CHARITY TRUST",50308,52912,"PROGRESS HOUSE, 396 WILMSLOW ROAD, MANCHESTER","M20 3BN"
1000876,"MANCHESTER IRISH EDUCATION GROUP",4456,4813,"5b Sussex Avenue, Manchester","M20 6AQ"
1000888,"AFTER ADOPTION",4954026,4838960,"AFTER ADOPTION, UNIT 5 CITYGATE, 5 BLANTYRE STREET, MANCHESTER","M15 4JJ"
1001134,"THE MANCHESTER PUBLICITY ASSOCIATION EDUCATIONAL TRUST",2404,2765,"The Candidate, 5th Floor, Clayton House, 59, Piccadilly, Manchester","M1 2AQ"
1001346,"MANCHESTER AND DISTRICT HOME FOR LOST DOGS LIMITED",1492392,1593723,"CROFTERS HOUSE, MOSS BROOK ROAD, HARPURHEY, MANCHESTER","M9 5PG"
1002222,"COMMUNITY TRANSPORT ASSOCIATION UK",1356982,3012327,"Community Transport Association UK, Ltd, , 12 Hilton Street, Manchester","M1 1JF"
1002972,"SOUTH MANCHESTER MIKVA",15005,16590,"CARDINAL HOUSE, 20 ST MARYS PARSONAGE, MANCHESTER","M3 2LG"
1007325,"NATHAN LASKI MEMORIAL CHARITABLE TRUST",19422,3668,"HILL DICKINSON, 50 FOUNTAIN STREET, MANCHESTER","M2 2AS"
1007332,"ROTARY CLUB OF MANCHESTER TRUST FUND",14816,9639,"MANCHESTER HALL, 36 BRIDGE STREET, MANCHESTER","M3 3BT"
1007487,"GREATER MANCHESTER ACCESSIBLE TRANSPORT LIMITED",5261626,4999534,"20TH FLOOR, MANCHESTER ONE, 53 PORTLAND STREET, MANCHESTER","M1 3LF"
1007733,"ARIHANT CHARITABLE TRUST",25121,6197,"Kipfold, Cheetwood House, Cheetwood Road, Manchester","M8 8AQ"
1007809,"THE TRANSPLANT PATIENTS TRUST OF GREAT BRITAIN",5397,5070,"Transplant Patients Trust, Unit 4G Beehive Mill, Jersey Street, Manchester","M4 6JG"
1008295,"MANCHESTER CATHEDRAL DEVELOPMENT TRUST",26658,95092,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
1009126,"KESSER CHARITIES LIMITED",77844,72514,"Enterprise  House, 3 Middleton Road, MANCHESTER","M8 5DT"
1010167,"CITIZENS ADVICE MANCHESTER",3895220,4234709,"Citizens Advice Manchester, Albert House, 17 Bloom Street, MANCHESTER","M1 3HZ"
1010447,"BEETHOVEN SOCIETY",9078,9124,"Flat 2, Pavilion House, 152 Palatine Road, MANCHESTER","M20 2QH"
1010817,"IMANI COMMUNITY ASSOCIATION",25567,17637,"3A OXFORD PLACE, VICTORIA PARK, MANCHESTER","M14 5GS"
1010844,"DR GARRETT MEMORIAL TRUST",4508,1508,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
1012614,"NORTHENDEN RECREATION AND EDUCATION FUND",20,0,"NORTHENDEN RECTORY, FORD LANE, NORTHENDEN, MANCHESTER","M22 4NQ"
1013285,"CHORLTON GOOD NEIGHBOURS",107354,107163,"WILBRAHAM ST NINIANS CHURCH, EGERTON ROAD SOUTH, CHORLTON-CUM-HARDY, MANCHESTER","M21 0XJ"
1013846,"NOAM SHABBOS ASSOCIATION",20611,21727,"32 Park Road, Manchester","M8 4HU"
1014537,"SCHOENSTATT MOVEMENT IN ENGLAND AND WALES",35398,45573,"76 HILL LANE, BLACKLEY, MANCHESTER","M9 6PF"
1014866,"FRANK COHEN SUPPORT GROUP",16864,17569,"FRANK COHEN CENTRE, 223 MOSTON LANE, MANCHESTER","M9 4HE"
1014918,"WILLIAM CHADWICK BURSARY",0,20,"CHETHAMS SCHOOL OF MUSIC, LONG MILLGATE, MANCHESTER","M3 1SB"
1015304,"THE GUIDE ASSOCIATION COUNTY OF MANCHESTER",73660,87956,"THE METHODIST CHURCH, CENTRAL BUILDINGS, OLDHAM STREET, MANCHESTER","M1 1JQ"
1015459,"MULTI CULTURAL ARTS",1000,2407,"Apartment 10, 4 Barton Street, MANCHESTER","M3 4NN"
1015664,"NEWALL GREEN HIGH SCHOOL PARENTS TEACHERS AND FRIENDS ASSOCIATION",2,0,"56 HORTON ROAD, MANCHESTER","M14 7GB"
1015851,"308TH MANCHESTER SCOUT GROUP",14401,11298,"112 WILTON ROAD, CRUMPSALL, MANCHESTER","M8 4PX"
1015984,"ZIV HATORAH",13903,28189,"Tesciuba Ltd, 13 Police Street, Manchester","M2 7LQ"
1017467,"BACK ON TRACK MANCHESTER LTD",764546,760848,"4th Floor Swan Buildings, 20 Swan Street, Manchester","M4 5JW"
1017504,"FOREVER MANCHESTER",2335205,2847973,"FOREVER MANCHESTER, 2ND FLOOR, 8 HEWITT STREET, , MANCHESTER","M15 4GB"
1017903,"GURUNANAK",584338,589231,"Gurdwara Sikh Temple, 12 Sherborne Street, MANCHESTER","M3 1FE"
1018979,"NORTHERN CONSORTIUM",3851780,3922729,"ROOM E43, SACKVILLE STREET BUILDING, SACKVILLE STREET, MANCHESTER","M13 9PL"
1019669,"CLEAR VISION TRUST",45271,45115,"Clear Vision Trust, 16-20 Turner Street, Manchester","M4 1DZ"
1020173,"MANCHESTER SOUTH DISTRICT SCOUT COUNCIL",31107,29838,"31 Egerton Road North, MANCHESTER","M21 0SN"
1020503,"CAVENDISH PARENT TEACHERS ASSOCIATION",31631,27161,"Cavendish Road Primary School, Cavendish Road, Manchester","M20 1JG"
1021798,"BURNAGE FAMILY CHURCH",147991,147923,"814 BURNAGE LANE, MANCHESTER","M19 1RS"
1024631,"NORTH MANCHESTER BLACK HEALTH FORUM",33296,37654,"WOODVILLE SURE START CENTRE, SHIRLEY ROAD, MANCHESTER","M8 0NE"
1026351,"MANCHESTER VICTORIA BATHS TRUST",218468,158672,"Victoria Baths Trust, Hathersage Road, MANCHESTER","M130FE"
1026669,"OGLESBY CHARITABLE TRUST",2392615,3638956,"Lowry House, 17 Marble Street, Manchester","M2 3AW"
1027867,"2/289TH MANCHESTER SCOUT GROUP",4602,5103,"49 CROWDEN ROAD, MANCHESTER","M40 5RN"
1028464,"AFRICAN CARIBBEAN CARE GROUP",299128,348694,"African Caribbean Care Group, Claremont Centre, 2 Jarvis Road, Manchester","M15 5FS"
1029824,"SUSSEX OPEN CENTRE FOR EXAMINATIONS LIMITED",60875,66672,"7 Westholme Road, East Didsbury, Manchester","M20 3QZ"
1029849,"VINELIFE CHURCH MANCHESTER",907104,814925,"508 MOSS LANE EAST, MANCHESTER","M14 4PA"
1030292,"MANCHESTER BANGLADESHI WOMEN'S PROJECT",126224,109058,"360 DICKENSON ROAD, LONGSIGHT, MANCHESTER","M13 0NG"
1032203,"MANCHESTER UNITARIAN CONGREGATIONAL FUND",13770,21900,"Cross Street Chapel, 29 Cross Street, MANCHESTER","M2 1NL"
1036051,"THE INNER WHEEL CLUB OF MIDDLETON BENEVOLENT FUND",242,246,"72 WILTON ROAD, CRUMPSALL, MANCHESTER","M8 4PJ"
1036115,"THE KUIT STEINART LEVY CHARITABLE TRUST",17000,20100,"KUIT STEINART LEVY, 3 ST. MARYS PARSONAGE, MANCHESTER","M3 2RD"
1038124,"THE TATTON SINGERS",26937,25628,"21 Bamford Road, Didsbury, Manchester","M20 2QP"
1038999,"KADAMPA MEDITATION CENTRE MANCHESTER",135576,131117,"VAIROCHANA BUDDHIST CENTRE, 76 HIGH LANE, MANCHESTER","M21 9XF"
1039414,"MANCHESTER ASSEMBLY HALL OF JEHOVAH'S WITNESSES",205434,247001,"456 PALATINE ROAD, MANCHESTER","M22 4DJ"
1039895,"COLLEGE OF THE THIRD AGE",29991,33382,"ABRAHAM MOSS CENTRE, CRESCENT ROAD, CRUMPSALL, MANCHESTER","M8 5UF"
1040104,"THE BRITISH UPLAND FOOTPATH TRUST",0,0,"BRITISH MOUNTAINEERING COUNCIL, 177-179 BURTON ROAD, MANCHESTER","M20 2BB"
1040167,"INDIAN SENIOR CITIZEN'S CENTRE (MANCHESTER)",92845,115239,"16-18 WHALLEY ROAD, MANCHESTER","M16 8AB"
1040342,"THE MANCHESTER CONCERT HALL LIMITED",23000,15558,"MANCHESTER PROFESSIONAL SERVICES, PO BOX 532, TOWN HALL, MANCHESTER","M60 2LA"
1040579,"THE GREATER MANCHESTER HIGH SHERIFF'S POLICE TRUST",206693,270444,"GREATER MANCHESTER POLICE, Force Headquarters, 5th Floor, Central Park, Nothampton Road, MANCHESTER","M40 5BP"
1041322,"NORTHERN RHEUMATIC DISEASES UNIT RESEARCH FUND",0,0,"Calderbank Medical, 599 Wilmslow Road, MANCHESTER","M20 3QD"
1042299,"THE TRUST FUND OF THE ORTHODOX GREEK CHURCH AT HIGHER BROUGHTON MANCHESTER",25225,138141,"281-283 BARLOW MOOR ROAD, CHORLTON-CUM-HARDY, MANCHESTER","M21 7GH"
1042500,"LIFESHARE LIMITED",104084,133679,"27 HOULDSWORTH  ST, MANCHESTER","M1 1EB"
1043019,"THE MANUFACTURING INSTITUTE",1040387,1352603,"The Manufacturing Institute, Lee House, 90 Great Bridgewater Street, MANCHESTER","M1 5JW"
1043339,"RAINBOW CHRISTIAN CENTRE",5755,6413,"29 BRONTE STREET, MANCHESTER","M15 6QL"
1044163,"ST PAUL'S PARENT TEACHER ASSOCIATION",6372,1522,"St Paul's CE School, St Paul's Road, Manchester","M20 4PY"
1044759,"MANCHESTER DENTAL EDUCATION TRUST",138,421,"The School of Dentistry, University of Manchester, Higher Cambridge Street, Manchester","M15 6FH"
1044952,"CELESTIAL CHURCH OF CHRIST NORTH WEST (MANCHESTER) PARISH",8104,8255,"1 PARKFIELD STREET, OFF MOSS LANE EAST, RUSHOLME, MANCHESTER","M14 4BP"
1045728,"DIDSBURY CHURCH OF ENGLAND PRIMARY SCHOOL PARENT TEACHERS ASSOCIATION",11235,18828,"DIDSBURY CE PRIMARY SCHOOL PTA, ELM GROVE, DIDSBURY, MANCHESTER","M20 6RL"
1045869,"ZAKARIA MASJID AND TABLIGHI CENTRE'S TRUST",58181,54553,"Zakaria Mosque, 22-24 Clarendon Road, Whalley Range, Manchester","M16 8LD"
1046278,"FRIENDS OF ROSIE CHILDRENS CANCER RESEARCH FUND",80925,156059,"Slater Heelis & Co, 86 Deansgate, Manchester, , Greater Manchester","M3 2ER"
1047299,"THE TABLEY HOUSE COLLECTION TRUST",69784,69784,"UNIVERSITY OF MANCHESTER, OXFORD ROAD, MANCHESTER","M13 9PL"
1047323,"B K CHARITABLE TRUST",32445,97325,"REEDHAM HOUSE, 31 KING STREET WEST, MANCHESTER","M3 2PJ"
1047444,"BRISTOWE STREET PLAYGROUP",53995,60796,"14 BRISTOWE STREET, MANCHESTER","M11 4LW"
1047666,"105TH MANCHESTER SCOUT GROUP",7433,7101,"159 VICTORIA AVENUE EAST, MANCHESTER","M9 6HL"
1048000,"SOUTH MANCHESTER GYMNASTICS CENTRE",172747,192321,"STH MANCHESTER, GYMNASTICS CENTRE, FENSIDE ROAD, WYTHENSHAWE, MANCHESTER","M22 4PD"
1048152,"PARTNERS OF PRISONERS AND FAMILIES SUPPORT GROUP",1890456,1890558,"VALENTINE HOUSE, 1079 ROCHDALE ROAD, MANCHESTER","M9 8AJ"
1048182,"THE LEVY CHARITABLE TRUST",281,5000,"KUIT STEINART LEVY, 3 ST. MARYS PARSONAGE, MANCHESTER","M3 2RD"
1048581,"MANCHESTER CITY GALLERIES TRUST",199619,296637,"MANCHESTER ART GALLERY, MOSLEY STREET, MANCHESTER","M2 3JL"
1048762,"THE SALT COMMUNITY",619,855,"3 WADEBRIDGE AVENUE, MANCHESTER","M23 9LS"
1049067,"WYTHENSHAWE HOSPITAL TRANSPLANT FUND",173768,282315,"The Transplant Fund Office, Transplant Centre, Wythenshawe Hospital, Southmoor Road, Manchester","M23 9LT"
1049274,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST CHARITY",14022000,9535000,"Citylabs, Nelson Street, MANCHESTER","M13 9NQ"
1049751,"THE CHRISTIE CHARITABLE FUND",15439613,16010694,"THE CHRISTIE NHS FOUNDATION TRUST, 550 WILMSLOW ROAD, MANCHESTER","M20 4BX"
1050168,"KASHYAPA BUDDHIST CENTRE",2202,6110,"KASHYAPA BUDDHIST CENTRE, 76 High Lane, CHORLTON, , MANCHESTER","M21 9XF"
1050197,"THE PENNINE ACUTE HOSPITALS CHARITY AND OTHER  RELATED CHARITIES",245000,340000,"North Manchester General Hospital, Delaunays Road, Manchester","M8 5RB"
1050792,"THE NATIONAL FOOTBALL MUSEUM",3026415,3032229,"Urbis, Cathedral Gardens, Manchester","M4 3BG"
1051754,"MANCHESTER ACTION ON STREET HEALTH",557462,482146,"94 Fairfield Street, Manchester","M1 2WR"
1052295,"THE THEATRE IN PRISONS AND PROBATION CENTRE",161322,148433,"UNIVERSITY OF MANCHESTER, OXFORD ROAD, MANCHESTER","M13 9PL"
1052568,"THE RULERS CHURCH",101054,74671,"9 CHIPPENHAM ROAD, ANCOATS, , , MANCHESTER","M4 6FF"
1052608,"AUTHENTIC CITY CHURCH",85438,110158,"Authentic City Church, Crowcroft Road, Longsight, Manchester","M12 4QD"
1052745,"WYTHENSHAWE COMMUNITY CHURCH",153301,101257,"94 CROSSACRES ROAD, WYTHENSHAWE, MANCHESTER","M22 5BS"
1052817,"COMMUNITY HEALTH EDUCATION AND RECONSTRUCTION TRAINING",35848,47520,"34 Watts Street, MANCHESTER","M19 2TR"
1053304,"MANCHESTER OUTDOOR EDUCATION TRUST",526,72,"15 BRIGHTON AVENUE, MANCHESTER","M19 2JQ"
1054096,"OLD MOAT YOUTH OUTREACH PROJECT",27163,26117,"23 VICTORIA AVENUE, LEVENSHULME, MANCHESTER","M19 2PE"
1054220,"RECKLESS SLEEPERS",76057,81268,"SLADE & COOPER LTD, 46-50 OLDHAM STREET, MANCHESTER","M4 1LE"
1054872,"FAISALABAD AND MANCHESTER FRIENDSHIP COMMITTEE",0,0,"14 Chedworth Drive, MANCHESTER","M23 1LW"
1055020,"THE CASTLEFIELD HERITAGE TRUST",29202,762,"CITY SOLICITORS, TOWN HALL, ALBERT SQUARE, MANCHESTER","M60 2LA"
1055192,"QUAKER BOLIVIA LINK",43410,72079,"33 PARSONAGE ROAD, MANCHESTER","M20 4PS"
1055300,"HIGHER EDUCATION CAREERS SERVICES UNIT",168750,1051125,"HECSU, PROSPECTS HOUSE, 25 BOOTH STREET EAST, MANCHESTER","M13 9EP"
1055454,"FAMILY CHRISTIAN CHURCH",25965,22896,"Family Christian Church, Eastwood Road, MANCHESTER","M40 3TF"
1055993,"BARNABUS",520645,522653,"45 Bloom Street, MANCHESTER","M1 3LY"
1057088,"ROBE OF RIGHTEOUSNESS MINISTRIES INTERNATIONAL",12177,12177,"5 KESWICK CLOSE, MANCHESTER","M13 0DD"
1057724,"NOIR FOUNDATION",0,0,"58 OLD HALL LANE, MANCHESTER","M13 0UD"
1058495,"THE BRIDGEWATER HALL COMMUNITY EDUCATION TRUST",5544,12087,"THE BRIDGEWATER HALL, LOWER MOSLEY STREET, MANCHESTER","M2 3WS"
1059115,"GREATER MANCHESTER SPORTS PARTNERSHIP",1902651,1900757,"Greater Sport, National Squash Centre, Rowsley Street, MANCHESTER","M11 3FF"
1059147,"ELECTRONIC IMMIGRATION NETWORK",191796,192396,"BARNETT HOUSE, 6TH FLOOR, 53 FOUNTAIN STREET, MANCHESTER, LANCS","M2 2AN"
1059675,"MANCHESTER 500 GROUP OF ADVANCED MOTORCYCLISTS",924,1258,"6 Lowestead Road, Manchester","M14 4HL"
1060965,"THE WHITWORTH BATHS",0,0,"CITY SOLICITORS DEPARTMENT, MANCHESTER CITY COUNCIL, TOWN HALL, MANCHESTER","M60 2LA"
1061434,"THE COMMUNITY CHRISTIAN CHURCH (STOCKPORT)",6250,7733,"23 Bristol Avenue, Levenshulme, Manchester","M19 3NU"
1061457,"THE MONASTERY OF ST FRANCIS GORTON TRUST LTD",1504245,1490151,"THE MONASTERY, 89 GORTON LANE, MANCHESTER","M12 5WF"
1061821,"AL-MASOOM INTERNATIONAL FOUNDATION TRUST",2281,3386,"71 ALEXANDRA ROAD SOUTH, MANCHESTER","M16 8GJ"
1062333,"BIG LIFE CENTRES",3402834,3413819,"Big Life Group, 339 Stretford Road, MANCHESTER","M15 4ZY"
1062674,"THE BOOTH CENTRE",741261,762477,"Edward Holt House, Pimblett Street, Manchester","M3 1FU"
1062675,"ASSIST",58174,44873,"ASSIST CARE GROUP, 439 WILMSLOW ROAD, MANCHESTER","M20 4AN"
1062807,"THE ROTARY CLUB OF SALE BENEVOLENT FUND ( NO. 2 )",2305,2057,"5 Saxfield Drive, MANCHESTER","M23 1PY"
1063801,"MALAWI ASSOCIATION (UK)",15200,13200,"31 Thurlwood Avenue, MANCHESTER","M20 1DZ"
1063805,"BODY OF CHRIST INTERNATIONAL MINISTRIES (BCIM)",9535,9320,"7 KINGSLAND CLOSE, MANCHESTER","M40 7NB"
1064050,"MANCHESTER LESBIAN AND GAY SWITCHBOARD SERVICES LIMITED",0,0,"49 CLAUDE ROAD, MANCHESTER","M21 8BZ"
1064129,"PSAPPHA LIMITED",203380,189665,"70 PARSONAGE ROAD, MANCHESTER","M20 4WR"
1064738,"GFA World",1565432,360366,"Gospel For Asia, 6 Harper Road, Sharston Industrial Area, MANCHESTER","M22 4RG"
1064859,"THE MANCHESTER SOMALI ISLAMIC CULTURAL TRUST",163297,143809,"THE MANCHESTER SOMALI ISLAMIC, CULTURAL TRUST, UNITY HOUSE, 42 GREAT SOUTHERN STREET, MANCHESTER","M14 4EZ"
1064882,"CHEADLE VILLAGE HALL ASSOCIATION",27427,22379,"46 Claude Road, Manchester","M21 8BY"
1064939,"OLDHAM, HENSHAW AND CHURCH OF ENGLAND EDUCATIONAL TRUST",14227,16828,"DIOCESAN BOARD OF FINANCE, CHURCH HOUSE, 90 DEANSGATE, MANCHESTER","M3 2GH"
1065026,"THE BRITISH ONCOLOGY PHARMACY ASSOCIATION",105161,155689,"The Point, 60 The Boulevard, MANCHESTER","M20 2EU"
1065028,"CHRYSALIS (MANCHESTER)",10718,11607,"4 Westerling Way, Manchester","M16 7EA"
1065201,"MANCHESTER NEW MOSTON CONGREGATION OF JEHOVAH'S WITNESSES",9428,7741,"FLAT 82 RUSLAND COURT, BROADMOSS DRIVE, MANCHESTER","M9 7HG"
1065750,"NORTHERN MOOR COMMUNITY CHURCH",17686,36669,"37 CHERINGTON CLOSE, MANCHESTER","M23 0FE"
1065810,"BLACK ARTS ALLIANCE",36571,24923,"15 Rushford Avenue, Manchester","M19 2HG"
1066368,"MANCHESTER, WITHINGTON CONGREGATION OF JEHOVAH'S WITNESSES",7770,9062,"KINGDOM HALL, BEACONSFIELD, MANCHESTER","M14 6UP"
1066460,"MANCHESTER CENTRAL CONGREGATION OF JEHOVAH'S WITNESSES",12676,9172,"56 THORNCLIFFE GROVE, MANCHESTER","M19 3LS"
1066972,"LORD MAYOR OF MANCHESTER'S CHARITY APPEAL TRUST",1177924,393374,"Lord Mayor's Office, Room 412, Level 4, Town Hall, Manchester","M60 2LA"
1067108,"AFRICAN AND CARIBBEAN MENTAL HEALTH SERVICES",356439,323234,"WINDRUSH MILLENNIUM CENTRE, 70 ALEXANDRA ROAD, MANCHESTER","M16 7WD"
1067272,"RAVENGLASS AND ESKDALE RAILWAY PRESERVATION SOCIETY TRUST",56027,54134,"34 Mayfield Road, MANCHESTER","M16 8EU"
